Station Name,Address,Latitude,Longitude,Connector Type,Quantity,Type,Unnamed: 7,street_name,zip_code
undefined,3C Thomas R. Malthusstraat 1066 JR,52.33969,4.823063,TYPE 2,29,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Thomas R. Malthusstraat,1066 JR
undefined,701 Parnassusweg 1077 DG,52.34039,4.868951,TYPE 2,29,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Parnassusweg,1077 DG
Ecotap/NL*LMS*P4128,5 Bornhout 1046 PP,52.39689,4.792018,TYPE 2,29,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Bornhout,1046 PP
AEB Amsterdam - Hoofdkantoor,21 Australiėhavenweg 1045 BA,52.40128,4.794425,TYPE 2,28,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Australiėhavenweg,1045 BA
Van Leeuwen/89274189,10 Hanedastraat 1043 DH,52.39102,4.83708,TYPE 2,27,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Hanedastraat,1043 DH
Threeforce B.V. (CPO) Hanedastraat 2,10 Hanedastraat 1043 DH,52.39102,4.83708,TYPE 2,27,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Hanedastraat,1043 DH
Bouwinvest Dutch Institutional Office Fund,300 Parnassusweg 1081 LC,52.33754,4.868344,TYPE 2,27,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Parnassusweg,1081 LC
bp pulse/f74bdd68-4603-4f1a-b6c0-0c65fc2636b7,18 Oude Haagseweg 1066 BW,52.33746,4.818158,CCS2,18,fast charging points,,Oude Haagseweg,1066 BW
bp pulse charging hub Oude Haagseweg #01,18 Oude Haagseweg 1066 BW,52.33746,4.818158,CCS2,18,fast charging points,,Oude Haagseweg,1066 BW
undefined,136 Narva-eiland 1014 ZJ,52.39314,4.881639,TYPE 2,26,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Narva-eiland,1014 ZJ
undefined,3C Thomas R. Malthusstraat 1066 JR,52.33969,4.823063,TYPE 2,26,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Thomas R. Malthusstraat,1066 JR
50five Exploitatie/90181750,6 Amstelplein 1097 DZ,52.34469,4.917564,TYPE 2,24,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Amstelplein,1097 DZ
Mondriaan Property 8 B.V. - mondriaantoren,6 Amstelplein 1097 DZ,52.34469,4.917564,TYPE 2,24,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Amstelplein,1097 DZ
CCS002286,111 Johan Huizingalaan 1066 VH,52.34156,4.827491,TYPE 2,24,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Johan Huizingalaan,1066 VH
"AHP - Amsterdam, David Ricardostraat 1",111 Johan Huizingalaan 1066 VH,52.34156,4.827491,TYPE 2,24,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Johan Huizingalaan,1066 VH
JLZ-A0541,75A1 Klaprozenweg 1033 NN,52.40576,4.892141,TYPE 2,24,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Klaprozenweg,1033 NN
Kroonenberg Amsterdam Klaprozenweg 75,75A1 Klaprozenweg 1033 NN,52.40576,4.892141,TYPE 2,24,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Klaprozenweg,1033 NN
Spaklerweg 20,20 Amstelstroomlaan 1096 GG,52.33613,4.916567,TYPE 2,24,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Amstelstroomlaan,1096 GG
Allego/NLALLEGO000792,20 Amstelstroomlaan 1096 GG,52.33613,4.916567,TYPE 2,24,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Amstelstroomlaan,1096 GG
Equity Estate - Quarter Plaza,74 Transformatorweg 1014 AK,52.3927,4.847717,TYPE 2,22,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Transformatorweg,1014 AK
Equity Estate - Quarter Plaza,74 Transformatorweg 1014 AK,52.3927,4.847717,TYPE 2,22,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Transformatorweg,1014 AK
Duivendrechtsekade 80B,80B Duivendrechtsekade 1096 AH,52.33788,4.933904,TYPE 2,22,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Duivendrechtsekade,1096 AH
Charge point Eneco,700 Bijlmerplein 1102 MA,52.31415,4.954795,TYPE 2,22,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Bijlmerplein,1102 MA
50five Exploitatie/60732720,12 Haaksbergweg 1101 BX,52.3104,4.94354,TYPE 2,22,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Haaksbergweg,1101 BX
