Address,street name,population,EV Vehicles,Fast charging points,Private charging at home,Regular Public & Semi-Public Charging Points (AC):,Latitude,Longitude,street_name
Burgwallen-Oude Zijde,A00 Burgwallen-Oude Zijde,4525,284.0336448,1.749581936,192.1976116,53.80948737,52.3743932,4.8967996,Burgwallen-Oude Zijde
 Burgwallen-Nieuwe Zijde,A01 Burgwallen-Nieuwe Zijde,4026,252.7114816,1.556644614,171.002781,47.87557926,52.3708741,4.890298,Burgwallen-Nieuwe Zijde
Grachtengordel-West,A02 Grachtengordel-West,6366,399.5929686,2.461400797,270.3933691,75.7019219,52.3763077,4.887938,Grachtengordel-West
Grachtengordel-Zuid,A03 Grachtengordel-Zuid,5382,337.8274202,2.080939223,228.5983526,64.00058807,52.365441,4.8926571,Grachtengordel-Zuid
Nieuwmarkt/Lastage,A04 Nieuwmarkt/Lastage,9629,604.4110422,3.723033031,408.9880225,114.5042108,52.3725884,4.899863,Nieuwmarkt/Lastage
Haarlemmerbuurt,A05 Haarlemmerbuurt,9171,575.6624434,3.545948274,389.534651,109.0578583,52.3842542,4.8893437,Haarlemmerbuurt
A06 Jordaan,A06 Jordaan,19403,1217.923715,7.502130014,824.1348635,230.7327035,52.3739315,4.8808759,Jordaan
A07 De Weteringschans,A07 De Weteringschans,7327,459.9148101,2.832969469,311.2114696,87.12974894,52.3601447,4.8917197,De Weteringschans
A08 Weesperbuurt/Plantage,A08 Weesperbuurt/Plantage,7538,473.1592518,2.914552185,320.1736124,89.63887642,52.3647575,4.9091409,Weesperbuurt/Plantage
A09 Oostelijke Eilanden/Kadijken,A09 Oostelijke Eilanden/Kadijken,13716,860.9514856,5.303263169,582.5817548,163.1051776,52.3695522,4.9146351,Oostelijke Eilanden/Kadijken
B10 Westelijk Havengebied,B10 Westelijk Havengebied,145,9.101630607,0.056063952,6.158818492,1.724281916,52.4140713,4.7991592,Westelijk Havengebied
B11 Bedrijventerrein Sloterdijk,B11 Bedrijventerrein Sloterdijk,,0,0,0,0,52.3941848,4.8027927,Bedrijventerrein Sloterdijk
