,street name,population,Street Area,,Population density,EV Vehicles,Regular public charging points,Regular Semi-public charging points,Fast charging points,Private charging at home,Regular Public & Semi-Public Charging Points (AC):
A Centrum,A00 Burgwallen-Oude Zijde,4525,6.334230434,0.05196192139,0.3291387838,284.0336448,34.57417293,19.23531444,1.749581936,192.1976116,53.80948737
,A01 Burgwallen-Nieuwe Zijde,4026,6.334230434,0.04623175591,0.2928425953,252.7114816,30.76146303,17.11411623,1.556644614,171.002781,47.87557926
,A02 Grachtengordel-West,6366,6.334230434,0.07310267216,0.4630491708,399.5929686,48.64070383,27.06121806,2.461400797,270.3933691,75.7019219
,A03 Grachtengordel-Zuid,5382,6.334230434,0.06180310738,0.3914751237,337.8274202,41.12225385,22.87833422,2.080939223,228.5983526,64.00058807
,A04 Nieuwmarkt/Lastage,9629,6.334230434,0.110572672,0.7003927844,604.4110422,73.57231185,40.93189895,3.723033031,408.9880225,114.5042108
,A05 Haarlemmerbuurt,9171,6.334230434,0.1053133218,0.6670788478,575.6624434,70.0728707,38.98498757,3.545948274,389.534651,109.0578583
,A06 Jordaan,19403,6.334230434,0.2228104222,1.411332557,1217.923715,148.2525254,82.48017815,7.502130014,824.1348635,230.7327035
,A07 De Weteringschans,7327,6.334230434,0.0841381211,0.5329502473,459.9148101,55.98341769,31.14633125,2.832969469,311.2114696,87.12974894
,A08 Weesperbuurt/Plantage,7538,6.334230434,0.08656109688,0.5482979342,473.1592518,57.59560564,32.04327078,2.914552185,320.1736124,89.63887642
,A09 Oostelijke Eilanden/Kadijken,13716,6.334230434,0.1575049091,0.9976723887,860.9514856,104.7998576,58.30531998,5.303263169,582.5817548,163.1051776
B Westpoort,B10 Westelijk Havengebied,145,33.08954891,0.0009785726337,0.03238052702,9.101630607,1.107901674,0.6163802418,0.05606395156,6.158818492,1.724281916
,B11 Bedrijventerrein Sloterdijk,,,,,0,0,0,0,0,0
E West,E12 Houthavens,3689,33.08954891,0.02489623756,0.8238052702,231.5580366,28.18654672,15.68156353,1.426344257,156.6888374,43.86811025
,E13 Spaarndammer- en Zeeheldenbuurt,10656,33.08954891,0.07191496541,2.379633765,668.8756948,81.41931198,45.29757143,4.120120467,452.6094473,126.7168834
,E14 Staatsliedenbuurt,12903,33.08954891,0.08707946685,2.881420277,809.9195843,98.58796757,54.84933972,4.988918393,548.0498966,153.4373073
