OBJECTNUMMER,LABEL,link no., year,street_name,24 hours,daylight,evening,nightlv,daymv,eveningmv,nightmv,dayzv,eveningzv,nightzv,day bus,evening bus,night bus,dagmr,eveningmr,nightmr,WKT_LNG_LAT,WKT_LAT_LNG,Longitude,Latitude
1,Link 1967,1967,2019,Tom Schreursweg,4995,303,185,73,1,0,0,1,0,0,0,0,0,2,1,0,"LINESTRING(4.7619245 52.3811429,4.7702906 52.3812354,4.7704012 52.3812301,4.770471 52.3811939)","LINESTRING(52.3811429 4.7619245,52.3812354 4.7702906,52.3812301 4.7704012,52.3811939 4.770471)",4.76619775,52.38118915
9,Link 2187,2187,2019,Ookmeerweg,21685,1278,779,309,22,6,5,26,6,8,2,2,1,6,4,2,"LINESTRING(4.7675288 52.3514225,4.7689776 52.352799)","LINESTRING(52.3514225 4.7675288,52.352799 4.7689776)",4.7682532,52.35211075
17,Link 2199,2199,2019,Osdorperweg,7120,431,263,104,2,1,1,3,1,1,0,0,0,2,1,1,"LINESTRING(4.7666974 52.3769921,4.7680571 52.3761993,4.7689122 52.3757361,4.7712287 52.3743882,4.7713996 52.3742748)","LINESTRING(52.3769921 4.7666974,52.3761993 4.7680571,52.3757361 4.7689122,52.3743882 4.7712287,52.3742748 4.7713996)",4.7690485,52.37563345
25,Link 2211,2211,2019,Heining,2481,126,77,30,12,4,3,16,3,5,0,0,0,1,1,0,"LINESTRING(4.7690447 52.3971086,4.7699317 52.3971138,4.7701929 52.3971879,4.7703934 52.3972875,4.7705022 52.3974549)","LINESTRING(52.3971086 4.7690447,52.3971138 4.7699317,52.3971879 4.7701929,52.3972875 4.7703934,52.3974549 4.7705022)",4.76977345,52.39728175
33,Link 2619,2619,2019,Joris van den Berghweg,970,59,36,14,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.7754235 52.3719372,4.7757245 52.3721258,4.7757778 52.3721811,4.7758241 52.3721884,4.7763582 52.3725254,4.7765319 52.3726021,4.7768648 52.3726976)","LINESTRING(52.3719372 4.7754235,52.3721258 4.7757245,52.3721811 4.7757778,52.3721884 4.7758241,52.3725254 4.7763582,52.3726021 4.7765319,52.3726976 4.7768648)",4.77614415,52.3723174
41,Link 2631,2631,2019,Tom Schreursweg,5013,305,186,74,1,0,0,1,0,0,0,0,0,2,1,0,"LINESTRING(4.770471 52.3811939,4.7705433 52.3812308,4.7706417 52.3812392,4.7767548 52.3812961)","LINESTRING(52.3811939 4.770471,52.3812308 4.7705433,52.3812392 4.7706417,52.3812961 4.7767548)",4.7736129,52.381245
49,Link 2649,2649,2019,Heining,2481,126,77,30,12,4,3,16,3,5,0,0,0,1,1,0,"LINESTRING(4.7712542 52.3987997,4.7707162 52.3980368,4.7705891 52.3977458,4.7705022 52.3974549)","LINESTRING(52.3987997 4.7712542,52.3980368 4.7707162,52.3977458 4.7705891,52.3974549 4.7705022)",4.7708782,52.3981273
57,Link 3061,3061,2019,Kwelderweg,560,34,21,8,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.7848833 52.3557178,4.7844818 52.3556455)","LINESTRING(52.3557178 4.7848833,52.3556455 4.7844818)",4.78468255,52.35568165
65,Link 3093,3093,2019,Osdorper Ban,4598,275,168,66,3,1,1,4,1,1,0,0,0,1,1,0,"LINESTRING(4.7864388 52.3593702,4.784817 52.3590407,4.7846029 52.3590095)","LINESTRING(52.3593702 4.7864388,52.3590407 4.784817,52.3590095 4.7846029)",4.78552085,52.35918985
73,Link 3103,3103,2019,Ingelandenweg,1215,73,45,18,1,0,0,1,0,0,0,0,0,0,0,0,"LINESTRING(4.7854722 52.3572582,4.7851227 52.3579089,4.7850818 52.3580219)","LINESTRING(52.3572582 4.7854722,52.3579089 4.7851227,52.3580219 4.7850818)",4.785277,52.35764005
