street name,population,Street Area,Population density,EV Vehicles,Regular public charging points,Regular Semi-public charging points,Fast charging points,Private charging at home,Regular Public & Semi-Public Charging Points (AC):,street_name,Latitude,Longitude
A00 Burgwallen-Oude Zijde,4525,6.33,0.33,284,35,19,2,192,54,Burgwallen-Oude Zijde,52.3743932,4.8967996
A01 Burgwallen-Nieuwe Zijde,4026,6.33,0.29,253,31,17,2,171,48,Burgwallen-Nieuwe Zijde,52.3708741,4.890298
A02 Grachtengordel-West,6366,6.33,0.46,400,49,27,2,270,76,Grachtengordel-West,52.3763077,4.887938
A03 Grachtengordel-Zuid,5382,6.33,0.39,338,41,23,2,229,64,Grachtengordel-Zuid,52.365441,4.8926571
A04 Nieuwmarkt/Lastage,9629,6.33,0.7,604,74,41,4,409,115,Nieuwmarkt/Lastage,52.3725884,4.899863
A05 Haarlemmerbuurt,9171,6.33,0.67,576,70,39,4,390,109,Haarlemmerbuurt,52.3842542,4.8893437
A06 Jordaan,19403,6.33,1.41,1218,148,82,8,824,231,Jordaan,52.3739315,4.8808759
A07 De Weteringschans,7327,6.33,0.53,460,56,31,3,311,87,De Weteringschans,52.3601447,4.8917197
A08 Weesperbuurt/Plantage,7538,6.33,0.55,473,58,32,3,320,90,Weesperbuurt/Plantage,52.3647575,4.9091409
A09 Oostelijke Eilanden/Kadijken,13716,6.33,1,861,105,58,5,583,163,Oostelijke Eilanden/Kadijken,52.3695522,4.9146351
B10 Westelijk Havengebied,145,33.09,0.03,9,1,1,0,6,2,Westelijk Havengebied,52.4140713,4.7991592
B11 Bedrijventerrein Sloterdijk,,,,0,0,0,0,0,0,Bedrijventerrein Sloterdijk,52.3941848,4.8027927
E12 Houthavens,3689,33.09,0.82,232,28,16,1,157,44,Houthavens,52.3924744,4.8841521
E13 Spaarndammer- en Zeeheldenbuurt,10656,33.09,2.38,669,81,45,4,453,127,Spaarndammer- en Zeeheldenbuurt,52.3898477,4.8742516
E14 Staatsliedenbuurt,12903,33.09,2.88,810,99,55,5,548,153,Staatsliedenbuurt,52.3825,4.873056
E15 Centrale Markt,2417,33.09,0.54,152,18,10,1,103,29,Centrale Markt,52.3799086,4.8653269
E16 Frederik Hendrikbuurt,8271,33.09,1.85,519,63,35,3,351,98,Frederik Hendrikbuurt,52.376379,4.8735803
E17 Da Costabuurt,4650,33.09,1.04,292,36,20,2,198,55,Da Costabuurt,52.3696024,4.8726415
E18 Kinkerbuurt,6735,33.09,1.5,423,51,29,3,286,80,Kinkerbuurt,52.366944,4.865
E19 Van Lennepbuurt,6957,33.09,1.55,437,53,30,3,295,83,Van Lennepbuurt,52.3656977,4.8702935
E20 Helmersbuurt,7456,33.09,1.67,468,57,32,3,317,89,Helmersbuurt,52.3629814,4.8714744
E21 Overtoomse Sluis,7922,33.09,1.77,497,61,34,3,336,94,Overtoomse Sluis,52.3588555,4.8583044
E22 Vondelbuurt,1773,33.09,0.4,111,14,8,1,75,21,Vondelbuurt,52.3830543,4.844819
E36 Sloterdijk,511,33.09,0.11,32,4,2,0,22,6,Sloterdijk,52.3867847,4.8468019
E37 Landlust,18938,33.09,4.23,1189,145,81,7,804,225,Landlust,52.3825213,4.8556387
E38 Erasmuspark,5839,33.09,1.3,367,45,25,2,248,69,Erasmuspark,52.374444,4.851111
E39 De Kolenkit,11022,33.09,2.46,692,84,47,4,468,131,De Kolenkit,52.3782068,4.8417905
E40 De Krommert,6768,33.09,1.51,425,52,29,3,287,80,De Krommert,52.3720977,4.8606326
E41 Van Galenbuurt,8242,33.09,1.84,517,63,35,3,350,98,Van Galenbuurt,52.3718754,4.8498069
E42 Hoofdweg e.o.,10345,33.09,2.31,649,79,44,4,439,123,Hoofdweg e.o.,52.3690563,4.8506722
E43 Westindische Buurt,6837,33.09,1.53,429,52,29,3,290,81,Westindische Buurt,52.3617744,4.8521818
nvt,6099,33.09,1.36,383,47,26,2,259,73,nvt,52.3688223,4.9015934
F75 Spieringhorn,854,10.46,0.06,54,7,4,0,36,10,Spieringhorn,52.3861995,4.8257649
F76 Slotermeer-Noordoost,9212,10.46,0.6,578,70,39,4,391,110,Slotermeer-Noordoost,52.381395,4.8290739
F77 Slotermeer-Zuidwest,17795,10.46,1.17,1117,136,76,7,756,212,Slotermeer-Zuidwest,52.3724594,4.8192201
F78 Geuzenveld,16346,10.46,1.07,1026,125,69,6,694,194,Geuzenveld,52.3785614,4.8003825
F79 Eendracht,2443,10.46,0.16,153,19,10,1,104,29,Eendracht,52.379362,4.7806264
F80 Lutkemeer/Ookmeer,1189,10.46,0.08,75,9,5,0,51,14,Lutkemeer/Ookmeer,52.3667919,4.7843983
F81 Osdorp-Oost,17148,10.46,1.12,1076,131,73,7,728,204,Osdorp-Oost,52.3624004,4.8042058
F82 Osdorp-Midden,15380,10.46,1.01,965,118,65,6,653,183,Osdorp-Midden,52.3561132,4.7948287
F83 De Punt,6170,10.46,0.4,387,47,26,2,262,73,De Punt,52.3565131,4.7849582
F84 Middelveldsche Akerpolder/Sloten,14289,10.46,0.94,897,109,61,6,607,170,Middelveldsche Akerpolder/Sloten,52.3385948,4.7983068
F85 Slotervaart,8088,10.46,0.53,508,62,34,3,344,96,Slotervaart,52.3562134,4.8272573
F86 Overtoomse Veld,14336,10.46,0.94,900,110,61,6,609,170,Overtoomse Veld,52.3641277,4.8404649
F87 Westlandgracht,11398,10.46,0.75,715,87,48,4,484,136,Westlandgracht,52.3489388,4.8399818
F88 Sloter-/Riekerpolder,14144,10.46,0.93,888,108,60,5,601,168,Sloter-/Riekerpolder,52.344228,4.827533
nvt,10730,10.46,0.7,674,82,46,4,456,128,nvt,52.3688223,4.9015934
nvt,3931,49.67,0.42,247,30,17,2,167,47,nvt,52.3688223,4.9015934
K24 Oude Pijp,14630,49.67,1.56,918,112,62,6,621,174,Oude Pijp,52.3548487,4.8907826
K25 Nieuwe Pijp,12375,49.67,1.32,777,95,53,5,526,147,Nieuwe Pijp,52.3526241,4.8961975
K26 Diamantbuurt,8080,49.67,0.86,507,62,34,3,343,96,Diamantbuurt,52.3509075,4.9054325
K44 Hoofddorppleinbuurt,11778,49.67,1.26,739,90,50,5,500,140,Hoofddorppleinbuurt,52.3511818,4.8503228
K45 Schinkelbuurt,3983,49.67,0.43,250,30,17,2,169,47,Schinkelbuurt,52.3490269,4.85409
K46 Willemspark,5568,49.67,0.6,350,43,24,2,236,66,Willemspark,52.3534239,4.860667
K47 Museumkwartier,12537,49.67,1.34,787,96,53,5,533,149,Museumkwartier,52.3553934,4.8776033
K48 Stadionbuurt,11863,49.67,1.27,745,91,50,5,504,141,Stadionbuurt,52.3454804,4.8592705
K49 Apollobuurt,8501,49.67,0.91,534,65,36,3,361,101,Apollobuurt,52.3474499,4.8762019
K52 Scheldebuurt,14832,49.67,1.59,931,113,63,6,630,176,Duivelseiland,52.3531013,4.8846654
K53 IJselbuurt,5227,49.67,0.56,328,40,22,2,222,62,Scheldebuurt,52.3427298,4.8936158
K54 Rijnbuurt,9084,49.67,0.97,570,69,39,4,386,108,IJselbuurt,52.3482427,4.9053788
K59 Station Zuid/WTC e.o.,1378,49.67,0.15,86,11,6,1,59,16,Rijnbuurt,52.3409282,4.9049106
K90 Buitenveldert-West,13568,49.67,1.45,852,104,58,5,576,161,Station Zuid,52.3422906,4.8719751
K91 Buitenveldert-Oost,7966,49.67,0.85,500,61,34,3,338,95,Buitenveldert-West,52.3304457,4.8682306
M27 Weesperzijde,5927,18.53,0.78,372,45,25,2,252,70,Buitenveldert-Oost,52.3324135,4.8851567
M28 Oosterparkbuurt,10627,18.53,1.39,667,81,45,4,451,126,Weesperzijde,52.353333,4.909444
M29 Dapperbuurt,10043,18.53,1.32,630,77,43,4,427,119,Oosterparkbuurt,52.359167,4.918056
M30 Transvaalbuurt,9101,18.53,1.19,571,70,39,4,387,108,Dapperbuurt,52.362222,4.927778
M31 Indische Buurt West,12519,18.53,1.64,786,96,53,5,532,149,Transvaalbuurt,52.3530632,4.916932
