 year,street_name,traffc_volume,daylight,evening,nightlv,Longitude,Latitude
2019,Tom Schreursweg,4995,303,185,73,4.76619775,52.38118915
2025,Tom Schreursweg,1259,75,46,18,4.76619775,52.38118915
2030,Tom Schreursweg,1304,78,48,19,4.76619775,52.38118915
2035,Tom Schreursweg,1283,77,47,19,4.76619775,52.38118915
2040,Tom Schreursweg,1470,88,54,21,4.76619775,52.38118915
2040,Tom Schreursweg,1470,88,54,21,4.76619775,52.38118915
2040,Tom Schreursweg,1470,88,54,21,4.76619775,52.38118915
2040,Tom Schreursweg,1470,88,54,21,4.76619775,52.38118915
2019,Ookmeerweg,21685,1278,779,309,4.7682532,52.35211075
2025,Ookmeerweg,24150,1425,869,344,4.7682532,52.35211075
2030,Ookmeerweg,24722,1459,890,352,4.7682532,52.35211075
2035,Ookmeerweg,24957,1473,898,356,4.7682532,52.35211075
2040,Ookmeerweg,26266,1548,944,374,4.7682532,52.35211075
2040,Ookmeerweg,26266,1548,944,374,4.7682532,52.35211075
2040,Ookmeerweg,26266,1548,944,374,4.7682532,52.35211075
2040,Ookmeerweg,26266,1548,944,374,4.7682532,52.35211075
2019,Osdorperweg,7120,431,263,104,4.7690485,52.37563345
2025,Osdorperweg,4124,249,152,60,4.7690485,52.37563345
2030,Osdorperweg,4229,256,156,62,4.7690485,52.37563345
2035,Osdorperweg,4214,255,155,62,4.7690485,52.37563345
2040,Osdorperweg,4577,277,169,67,4.7690485,52.37563345
2040,Osdorperweg,4577,277,169,67,4.7690485,52.37563345
2040,Osdorperweg,4577,277,169,67,4.7690485,52.37563345
2040,Osdorperweg,4577,277,169,67,4.7690485,52.37563345
2019,Heining,2481,126,77,30,4.76977345,52.39728175
2025,Heining,2283,118,72,29,4.76977345,52.39728175
2030,Heining,2462,131,80,32,4.76977345,52.39728175
2035,Heining,2508,131,80,32,4.76977345,52.39728175
2040,Heining,2931,157,96,38,4.76977345,52.39728175
2040,Heining,2931,157,96,38,4.76977345,52.39728175
2040,Heining,2931,157,96,38,4.76977345,52.39728175
2040,Heining,2931,157,96,38,4.76977345,52.39728175
2019,Joris van den Berghweg,970,59,36,14,4.77614415,52.3723174
2025,Joris van den Berghweg,411,25,15,6,4.77614415,52.3723174
2030,Joris van den Berghweg,408,25,15,6,4.77614415,52.3723174
2035,Joris van den Berghweg,396,24,15,6,4.77614415,52.3723174
2040,Joris van den Berghweg,346,21,13,5,4.77614415,52.3723174
2040,Joris van den Berghweg,346,21,13,5,4.77614415,52.3723174
2040,Joris van den Berghweg,346,21,13,5,4.77614415,52.3723174
2040,Joris van den Berghweg,346,21,13,5,4.77614415,52.3723174
2019,Tom Schreursweg,5013,305,186,74,4.7736129,52.381245
2025,Tom Schreursweg,1267,76,46,18,4.7736129,52.381245
2030,Tom Schreursweg,1309,79,48,19,4.7736129,52.381245
2035,Tom Schreursweg,1288,77,47,19,4.7736129,52.381245
2040,Tom Schreursweg,1468,88,54,21,4.7736129,52.381245
2040,Tom Schreursweg,1468,88,54,21,4.7736129,52.381245
2040,Tom Schreursweg,1468,88,54,21,4.7736129,52.381245
2040,Tom Schreursweg,1468,88,54,21,4.7736129,52.381245
2019,Heining,2481,126,77,30,4.7708782,52.3981273
2025,Heining,2283,118,72,29,4.7708782,52.3981273
2030,Heining,2462,131,80,32,4.7708782,52.3981273
2035,Heining,2508,131,80,32,4.7708782,52.3981273
2040,Heining,2931,157,96,38,4.7708782,52.3981273
2040,Heining,2931,157,96,38,4.7708782,52.3981273
2040,Heining,2931,157,96,38,4.7708782,52.3981273
2040,Heining,2931,157,96,38,4.7708782,52.3981273
2019,Kwelderweg,560,34,21,8,4.78468255,52.35568165
2025,Kwelderweg,561,34,21,8,4.78468255,52.35568165
2030,Kwelderweg,567,34,21,8,4.78468255,52.35568165
2035,Kwelderweg,561,34,21,8,4.78468255,52.35568165
2040,Kwelderweg,570,34,21,8,4.78468255,52.35568165
2040,Kwelderweg,570,34,21,8,4.78468255,52.35568165
2040,Kwelderweg,570,34,21,8,4.78468255,52.35568165
2040,Kwelderweg,570,34,21,8,4.78468255,52.35568165
2019,Osdorper Ban,4598,275,168,66,4.78552085,52.35918985
2025,Osdorper Ban,4337,258,158,62,4.78552085,52.35918985
2030,Osdorper Ban,4711,281,172,68,4.78552085,52.35918985
2035,Osdorper Ban,4681,279,170,68,4.78552085,52.35918985
2040,Osdorper Ban,4995,298,182,72,4.78552085,52.35918985
2040,Osdorper Ban,4995,298,182,72,4.78552085,52.35918985
2040,Osdorper Ban,4995,298,182,72,4.78552085,52.35918985
2040,Osdorper Ban,4995,298,182,72,4.78552085,52.35918985
2019,Ingelandenweg,1215,73,45,18,4.785277,52.35764005
2025,Ingelandenweg,1381,83,51,20,4.785277,52.35764005
2030,Ingelandenweg,1398,84,51,20,4.785277,52.35764005
2035,Ingelandenweg,1390,84,51,20,4.785277,52.35764005
2040,Ingelandenweg,1402,84,52,20,4.785277,52.35764005
2040,Ingelandenweg,1402,84,52,20,4.785277,52.35764005
2040,Ingelandenweg,1402,84,52,20,4.785277,52.35764005
2040,Ingelandenweg,1402,84,52,20,4.785277,52.35764005
2019,Osdorperweg,7889,477,291,115,4.7836102,52.3670338
2025,Osdorperweg,5095,308,188,75,4.7836102,52.3670338
2030,Osdorperweg,5172,313,191,76,4.7836102,52.3670338
2035,Osdorperweg,5143,311,190,75,4.7836102,52.3670338
2040,Osdorperweg,5401,327,200,79,4.7836102,52.3670338
2040,Osdorperweg,5401,327,200,79,4.7836102,52.3670338
2040,Osdorperweg,5401,327,200,79,4.7836102,52.3670338
2040,Osdorperweg,5401,327,200,79,4.7836102,52.3670338
2019,Osdorperweg,8568,518,316,125,4.78509135,52.36555835
2025,Osdorperweg,5787,350,214,85,4.78509135,52.36555835
2030,Osdorperweg,5875,356,217,86,4.78509135,52.36555835
2035,Osdorperweg,5853,354,216,86,4.78509135,52.36555835
2040,Osdorperweg,6121,370,226,89,4.78509135,52.36555835
2040,Osdorperweg,6121,370,226,89,4.78509135,52.36555835
2040,Osdorperweg,6121,370,226,89,4.78509135,52.36555835
2040,Osdorperweg,6121,370,226,89,4.78509135,52.36555835
2019,Dortmuiden,12992,640,390,154,4.7784403,52.3967054
2025,Dortmuiden,12645,625,381,151,4.7784403,52.3967054
2030,Dortmuiden,13274,647,395,156,4.7784403,52.3967054
2035,Dortmuiden,13203,644,393,156,4.7784403,52.3967054
2040,Dortmuiden,13788,671,409,162,4.7784403,52.3967054
2040,Dortmuiden,13788,671,409,162,4.7784403,52.3967054
2040,Dortmuiden,13788,671,409,162,4.7784403,52.3967054
2040,Dortmuiden,13788,671,409,162,4.7784403,52.3967054
2019,WESTPOORTWEG,6383,349,213,84,4.78295825,52.3975903
2025,WESTPOORTWEG,6132,336,205,81,4.78295825,52.3975903
2030,WESTPOORTWEG,6004,327,199,79,4.78295825,52.3975903
2035,WESTPOORTWEG,5871,318,194,77,4.78295825,52.3975903
2040,WESTPOORTWEG,6038,327,200,79,4.78295825,52.3975903
2040,WESTPOORTWEG,6038,327,200,79,4.78295825,52.3975903
2040,WESTPOORTWEG,6038,327,200,79,4.78295825,52.3975903
2040,WESTPOORTWEG,6038,327,200,79,4.78295825,52.3975903
2019,Langsom,9906,590,360,143,4.7926175,52.3412057
2025,Langsom,10071,601,366,145,4.7926175,52.3412057
2030,Langsom,11005,656,400,159,4.7926175,52.3412057
2035,Langsom,11071,661,403,160,4.7926175,52.3412057
2040,Langsom,12406,742,453,179,4.7926175,52.3412057
2040,Langsom,12406,742,453,179,4.7926175,52.3412057
2040,Langsom,12406,742,453,179,4.7926175,52.3412057
2040,Langsom,12406,742,453,179,4.7926175,52.3412057
2019,Langsom,10164,606,370,146,4.79236625,52.34094955
2025,Langsom,10466,625,381,151,4.79236625,52.34094955
2030,Langsom,11423,681,416,165,4.79236625,52.34094955
2035,Langsom,11504,687,419,166,4.79236625,52.34094955
2040,Langsom,12884,771,470,186,4.79236625,52.34094955
2040,Langsom,12884,771,470,186,4.79236625,52.34094955
2040,Langsom,12884,771,470,186,4.79236625,52.34094955
2040,Langsom,12884,771,470,186,4.79236625,52.34094955
2019,SLOTERBRUG,10164,606,370,146,4.7920115,52.34071565
2025,SLOTERBRUG,10466,625,381,151,4.7920115,52.34071565
2030,SLOTERBRUG,11423,681,416,165,4.7920115,52.34071565
2035,SLOTERBRUG,11504,687,419,166,4.7920115,52.34071565
2040,SLOTERBRUG,12884,771,470,186,4.7920115,52.34071565
2040,SLOTERBRUG,12884,771,470,186,4.7920115,52.34071565
2040,SLOTERBRUG,12884,771,470,186,4.7920115,52.34071565
2040,SLOTERBRUG,12884,771,470,186,4.7920115,52.34071565
2019,Pieter Calandlaan,8280,491,300,119,4.78632295,52.34866685
2025,Pieter Calandlaan,8030,478,292,116,4.78632295,52.34866685
2030,Pieter Calandlaan,8133,484,295,117,4.78632295,52.34866685
2035,Pieter Calandlaan,8004,476,291,115,4.78632295,52.34866685
2040,Pieter Calandlaan,8132,483,295,117,4.78632295,52.34866685
2040,Pieter Calandlaan,8132,483,295,117,4.78632295,52.34866685
2040,Pieter Calandlaan,8132,483,295,117,4.78632295,52.34866685
2040,Pieter Calandlaan,8132,483,295,117,4.78632295,52.34866685
2019,Pieter Calandlaan,7918,470,287,114,4.7886723,52.34982965
2025,Pieter Calandlaan,7540,449,274,108,4.7886723,52.34982965
2030,Pieter Calandlaan,7618,453,277,109,4.7886723,52.34982965
2035,Pieter Calandlaan,7480,445,271,107,4.7886723,52.34982965
2040,Pieter Calandlaan,7592,451,275,109,4.7886723,52.34982965
2040,Pieter Calandlaan,7592,451,275,109,4.7886723,52.34982965
2040,Pieter Calandlaan,7592,451,275,109,4.7886723,52.34982965
2040,Pieter Calandlaan,7592,451,275,109,4.7886723,52.34982965
2019,Pieter Calandlaan,12305,736,449,178,4.7927491,52.3506196
2025,Pieter Calandlaan,11011,659,402,159,4.7927491,52.3506196
2030,Pieter Calandlaan,11078,663,404,160,4.7927491,52.3506196
2035,Pieter Calandlaan,11065,662,404,160,4.7927491,52.3506196
2040,Pieter Calandlaan,11513,689,420,166,4.7927491,52.3506196
2040,Pieter Calandlaan,11513,689,420,166,4.7927491,52.3506196
2040,Pieter Calandlaan,11513,689,420,166,4.7927491,52.3506196
2040,Pieter Calandlaan,11513,689,420,166,4.7927491,52.3506196
2019,Baden Powellweg,11660,703,429,170,4.792865,52.3529372
2025,Baden Powellweg,7683,464,283,112,4.792865,52.3529372
2030,Baden Powellweg,7975,481,294,116,4.792865,52.3529372
2035,Baden Powellweg,8114,490,299,118,4.792865,52.3529372
2040,Baden Powellweg,9014,545,332,132,4.792865,52.3529372
2040,Baden Powellweg,9014,545,332,132,4.792865,52.3529372
2040,Baden Powellweg,9014,545,332,132,4.792865,52.3529372
2040,Baden Powellweg,9014,545,332,132,4.792865,52.3529372
2019,Tussen Meer,966,58,35,14,4.7870283,52.3556192
2025,Tussen Meer,996,60,37,15,4.7870283,52.3556192
2030,Tussen Meer,1016,61,37,15,4.7870283,52.3556192
2035,Tussen Meer,1008,61,37,15,4.7870283,52.3556192
